"PÉRIODE DE RÉFÉRENCE","GÉO","VALEUR"
"Jan-60","Nouvelle-Écosse","722000"
"Jan-60","Nouveau-Brunswick","585000"
"Jan-60","Québec","5092000"
"Jan-60","Ontario","6054000"
"Jan-60","Manitoba","900000"
"Jan-60","Saskatchewan","911000"
"Jan-60","Alberta","1274000"
"Jan-60","Colombie-Britannique","1589000"
"Jan-60","Yukon","14000"
"Jan-60","Territoires du Nord-Ouest incluant Nunavut","21000"
"Apr-60","Canada","17793000"
"Apr-60","Terre-Neuve-et-Labrador","447000"
"Apr-60","Île-du-Prince-Édouard","103000"
"Apr-60","Nouvelle-Écosse","725000"
"Apr-60","Nouveau-Brunswick","587000"
"Apr-60","Québec","5119000"
"Apr-60","Ontario","6083000"
"Apr-60","Manitoba","903000"
"Apr-60","Saskatchewan","912000"
"Apr-60","Alberta","1282000"
"Apr-60","Colombie-Britannique","1596000"
"Apr-60","Yukon","14000"
"Apr-60","Territoires du Nord-Ouest incluant Nunavut","22000"
"Jul-60","Canada","17909000"
"Jul-60","Terre-Neuve-et-Labrador","449000"
"Jul-60","Île-du-Prince-Édouard","103000"
"Jul-60","Nouvelle-Écosse","728000"
"Jul-60","Nouveau-Brunswick","589000"
"Jul-60","Québec","5152000"
"Jul-60","Ontario","6127000"
"Jul-60","Manitoba","908000"
"Jul-60","Saskatchewan","916000"
"Jul-60","Alberta","1296000"
"Jul-60","Colombie-Britannique","1605000"
"Jul-60","Yukon","14000"
"Jul-60","Territoires du Nord-Ouest incluant Nunavut","22000"
"Oct-60","Canada","18009000"
"Oct-60","Terre-Neuve-et-Labrador","452000"
"Oct-60","Île-du-Prince-Édouard","104000"
"Oct-60","Nouvelle-Écosse","731000"
"Oct-60","Nouveau-Brunswick","591000"
"Oct-60","Québec","5187000"
"Oct-60","Ontario","6158000"
"Oct-60","Manitoba","911000"
"Oct-60","Saskatchewan","918000"
"Oct-60","Alberta","1307000"
"Oct-60","Colombie-Britannique","1614000"
"Oct-60","Yukon","14000"
"Oct-60","Territoires du Nord-Ouest incluant Nunavut","22000"
"Jan-61","Canada","18092000"
"Jan-61","Terre-Neuve-et-Labrador","454000"
"Jan-61","Île-du-Prince-Édouard","104000"
"Jan-61","Nouvelle-Écosse","732000"
"Jan-61","Nouveau-Brunswick","593000"
"Jan-61","Québec","5212000"
"Jan-61","Ontario","6187000"
"Jan-61","Manitoba","916000"
"Jan-61","Saskatchewan","919000"
"Jan-61","Alberta","1317000"
"Jan-61","Colombie-Britannique","1621000"
"Jan-61","Yukon","14000"
"Jan-61","Territoires du Nord-Ouest incluant Nunavut","23000"
"Apr-61","Canada","18172000"
"Apr-61","Terre-Neuve-et-Labrador","456000"
"Apr-61","Île-du-Prince-Édouard","104000"
"Apr-61","Nouvelle-Écosse","735000"
"Apr-61","Nouveau-Brunswick","596000"
"Apr-61","Québec","5238000"
"Apr-61","Ontario","6214000"
"Apr-61","Manitoba","919000"
"Apr-61","Saskatchewan","922000"
"Apr-61","Alberta","1325000"
"Apr-61","Colombie-Britannique","1626000"
"Apr-61","Yukon","14000"
"Apr-61","Territoires du Nord-Ouest incluant Nunavut","23000"
"Jul-61","Canada","18271000"
"Jul-61","Terre-Neuve-et-Labrador","459000"
"Jul-61","Île-du-Prince-Édouard","105000"
"Jul-61","Nouvelle-Écosse","738000"
"Jul-61","Nouveau-Brunswick","599000"
"Jul-61","Québec","5268000"
"Jul-61","Ontario","6248000"
"Jul-61","Manitoba","923000"
"Jul-61","Saskatchewan","926000"
"Jul-61","Alberta","1335000"
"Jul-61","Colombie-Britannique","1632000"
"Jul-61","Yukon","15000"
"Jul-61","Territoires du Nord-Ouest incluant Nunavut","23000"
"Oct-61","Canada","18363000"
"Oct-61","Terre-Neuve-et-Labrador","462000"
"Oct-61","Île-du-Prince-Édouard","106000"
"Oct-61","Nouvelle-Écosse","740000"
"Oct-61","Nouveau-Brunswick","600000"
"Oct-61","Québec","5300000"
"Oct-61","Ontario","6275000"
"Oct-61","Manitoba","927000"
"Oct-61","Saskatchewan","929000"
"Oct-61","Alberta","1345000"
"Oct-61","Colombie-Britannique","1640000"
"Oct-61","Yukon","15000"
"Oct-61","Territoires du Nord-Ouest incluant Nunavut","24000"
"Jan-62","Canada","18442000"
"Jan-62","Terre-Neuve-et-Labrador","464000"
"Jan-62","Île-du-Prince-Édouard","107000"
"Jan-62","Nouvelle-Écosse","742000"
"Jan-62","Nouveau-Brunswick","602000"
"Jan-62","Québec","5324000"
"Jan-62","Ontario","6303000"
"Jan-62","Manitoba","930000"
"Jan-62","Saskatchewan","927000"
"Jan-62","Alberta","1356000"
"Jan-62","Colombie-Britannique","1648000"
"Jan-62","Yukon","15000"
"Jan-62","Territoires du Nord-Ouest incluant Nunavut","24000"
"Apr-62","Canada","18519000"
"Apr-62","Terre-Neuve-et-Labrador","466000"
"Apr-62","Île-du-Prince-Édouard","107000"
"Apr-62","Nouvelle-Écosse","744000"
"Apr-62","Nouveau-Brunswick","604000"
"Apr-62","Québec","5350000"
"Apr-62","Ontario","6330000"
"Apr-62","Manitoba","933000"
"Apr-62","Saskatchewan","928000"
"Apr-62","Alberta","1363000"
"Apr-62","Colombie-Britannique","1655000"
"Apr-62","Yukon","15000"
"Apr-62","Territoires du Nord-Ouest incluant Nunavut","24000"
"Jul-62","Canada","18614000"
"Jul-62","Terre-Neuve-et-Labrador","469000"
"Jul-62","Île-du-Prince-Édouard","107000"
"Jul-62","Nouvelle-Écosse","746000"
"Jul-62","Nouveau-Brunswick","605000"
"Jul-62","Québec","5381000"
"Jul-62","Ontario","6362000"
"Jul-62","Manitoba","937000"
"Jul-62","Saskatchewan","931000"
"Jul-62","Alberta","1373000"
"Jul-62","Colombie-Britannique","1663000"
"Jul-62","Yukon","15000"
"Jul-62","Territoires du Nord-Ouest incluant Nunavut","25000"
"Oct-62","Canada","18708000"
"Oct-62","Terre-Neuve-et-Labrador","471000"
"Oct-62","Île-du-Prince-Édouard","107000"
"Oct-62","Nouvelle-Écosse","748000"
"Oct-62","Nouveau-Brunswick","607000"
"Oct-62","Québec","5413000"
"Oct-62","Ontario","6395000"
"Oct-62","Manitoba","940000"
"Oct-62","Saskatchewan","931000"
"Oct-62","Alberta","1382000"
"Oct-62","Colombie-Britannique","1674000"
"Oct-62","Yukon","15000"
"Oct-62","Territoires du Nord-Ouest incluant Nunavut","25000"
"Jan-63","Canada","18787000"
"Jan-63","Terre-Neuve-et-Labrador","473000"
"Jan-63","Île-du-Prince-Édouard","107000"
"Jan-63","Nouvelle-Écosse","747000"
"Jan-63","Nouveau-Brunswick","607000"
"Jan-63","Québec","5437000"
"Jan-63","Ontario","6427000"
"Jan-63","Manitoba","944000"
"Jan-63","Saskatchewan","928000"
"Jan-63","Alberta","1391000"
"Jan-63","Colombie-Britannique","1686000"
"Jan-63","Yukon","15000"
"Jan-63","Territoires du Nord-Ouest incluant Nunavut","25000"
"Apr-63","Canada","18864000"
"Apr-63","Terre-Neuve-et-Labrador","474000"
"Apr-63","Île-du-Prince-Édouard","108000"
"Apr-63","Nouvelle-Écosse","749000"
"Apr-63","Nouveau-Brunswick","608000"
"Apr-63","Québec","5461000"
"Apr-63","Ontario","6455000"
"Apr-63","Manitoba","947000"
"Apr-63","Saskatchewan","930000"
"Apr-63","Alberta","1398000"
"Apr-63","Colombie-Britannique","1694000"
"Apr-63","Yukon","15000"
"Apr-63","Territoires du Nord-Ouest incluant Nunavut","25000"
"Jul-63","Canada","18964000"
"Jul-63","Terre-Neuve-et-Labrador","477000"
"Jul-63","Île-du-Prince-Édouard","108000"
"Jul-63","Nouvelle-Écosse","751000"
"Jul-63","Nouveau-Brunswick","609000"
"Jul-63","Québec","5489000"
"Jul-63","Ontario","6497000"
"Jul-63","Manitoba","950000"
"Jul-63","Saskatchewan","933000"
"Jul-63","Alberta","1407000"
"Jul-63","Colombie-Britannique","1702000"
"Jul-63","Yukon","15000"
"Jul-63","Territoires du Nord-Ouest incluant Nunavut","26000"
"Oct-63","Canada","19061000"
"Oct-63","Terre-Neuve-et-Labrador","479000"
"Oct-63","Île-du-Prince-Édouard","109000"
"Oct-63","Nouvelle-Écosse","752000"
"Oct-63","Nouveau-Brunswick","609000"
"Oct-63","Québec","5518000"
"Oct-63","Ontario","6535000"
"Oct-63","Manitoba","953000"
